video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=xjBmgHHBkII&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@garynegy,garynegy,Campus Tour | University of Washington | Seattle | Hogwarts Library | Hostel,2.6K,10 months,Hi! Let's take a stroll through University of Washington's beautiful campus. In this video you will also find a tour of College Inn hotel ...,2024-01-28 19:41:35.747397
/watch?v=qssBcJ20Dq8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@theitwinerary3240,The Itwinerary,WALKING: University of Washington- Seattle,3.2K,1 year,"""The University of Washington (UW, simply Washington, or informally U-Dub)[7] is a public research university in Seattle, ...",2024-01-28 19:41:35.748645
/watch?v=aFTXe1AvYac&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@runnerspace,runnerspace,Dempsey Indoor Mile Record Falls In Super Deep Race,1.6K,7 hours,"SEATTLE — Exactly a year ago, Luke Houser's 3:55.98 mile was part of an historic race that saw eight University of Washington ...",2024-01-28 19:41:35.750969
/watch?v=ht8ObQN751Y&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@brianbae4020,Brian Bae,Day In My Life at The University of Washington,131K,5 years,This is what happens in a typical day in my life at UW! Welcome to my Channel! I'm Brian and I'm a sophomore at the University of ...,2024-01-28 19:41:35.756866
/watch?v=Xvm6SH8BWBY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@genjster,genjster,UW Seattle campus tour | Cherry Blossoms 🌸 | Seattle Walk 2022 🚶,3.2K,1 year,"In this video, I take you on a campus tour of the University of Washington (UW) campus in Seattle. The UW campus is often ...",2024-01-28 19:41:35.758300
/watch?v=qV75d1Q7jBM&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Cherry Blossoms 101 from a UW student tour guide,13K,10 months,UW student tour guide Sydney Colescott takes us to the Quad on the University of Washington campus where the cherry blossoms ...,2024-01-28 19:41:35.760122
/watch?v=SgFdTaV1_04&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@TaylorQuynh,Taylor Quynh,How I Got Into UW Seattle as an Out of State Student: High School Stats + Application,16K,2 years,I applied to UW in 2019 as an out of state student. I grew up in Seattle so UW was my dream school and I am so happy here!,2024-01-28 19:41:35.763017
/watch?v=772uTuN09ac&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@mynametrong5508,mynametrong,University of Washington - Pros and Cons,114K,6 years,My personal experience and opinion of the pros and cons of going to the University of Washington Seattle campus. Please leave ...,2024-01-28 19:41:44.418350
/watch?v=axPkLF0KHXo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWFosterSchool,University of Washington Foster School of Business,Tour the University of Washington Foster School of Business,9.8K,3 years,"The UW Foster School of Business is comprised of: Dempsey Hall Opened in Fall 2012, the Foster School's Dempsey Hall is ...",2024-01-28 19:41:44.420457
/watch?v=eBStIHesXLc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@andreamuljono8413,Andrea Muljono,Day In The Life of ✩Computer Science Major✩ at University of Washington Seattle,9.1K,1 year,Hi! I'm Andrea and I'm a 3rd-year studying Computer Science at the University of Washington Seattle! Here's a typical day in my ...,2024-01-28 19:41:44.422891
/watch?v=H2xhs66JjIY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@kgun9,KGUN9,Jedd Fisch Leaving University of Arizona to become Washington head coach,3.6K,13 days,"In a stunning turn of events, Arizona head football coach Jedd Fisch is leaving the program to become the next head coach at ...",2024-01-28 19:41:44.424370
/watch?v=yxbMp8b0fOs&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@kennakwok.,Kenna Kwok,COLLEGE MOVE IN DAY - UNIVERSITY OF WASHINGTON,50K,3 years,My official dorm move in day at the University of Washington! I moved in to Lander Hall on West Campus - comment below any ...,2024-01-28 19:41:44.425622
/watch?v=A03zS8VsTQU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@Sincerelylaure,Sincerelylaure,COLLEGE DORM TOUR 2020 | University of Washington (freshman year),38K,3 years,"hi here's my long-awaited dorm tour!! thank you so much for watching, cya in my next video. i hope you all have an amazing day ...",2024-01-28 19:41:44.427216
/watch?v=7qPQS-6H678&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@choeshow,choeshow,CAMPUS MADNESS: DUDE GOES ON A BENDER NEAR UNIVERSITY OF WASHINGTON  #seatte,3.4K,6 months,Some dude dealing with mental health challenges started going on a bender in Seattle's University District. He walked up and ...,2024-01-28 19:41:44.428470
/watch?v=Nzuyyfe2dTs&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),"Be Boundless - for Washington, for the World",32K,6 years,"What you care about can change the world. Together, we can turn ideas into impact. Join us today. Learn more here: ...",2024-01-28 19:41:44.430863
/watch?v=Otv034NAG8s&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW Campus Tour: IMA,49K,5 years,"The UW's Intramural Activities building is the spot on campus if you're looking for a complete workout, as well as the place for ...",2024-01-28 19:41:44.432796
/watch?v=3YhNaJfxD94&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@fox13seattle,FOX 13 Seattle,Tensions flare during pro-Palestine rally on University of Washington campus,9.6K,3 months,The conflict between Israel and Palestine goes back decades and activists faced off at a pro-Palestine rally at the University of ...,2024-01-28 19:41:44.434204
/watch?v=FNsjgQul208&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@uwrecreation2837,UW Recreation,About University of Washington Recreation,6K,1 year,Learn more about what UW Recreation has to offer the Husky community! You'll discover how to get active and participate in our ...,2024-01-28 19:41:44.435391
