video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=dVykvUsSVNI&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@JustSayNatasha,Natasha Havanur,Georgia Tech vs. The University of Georgia Q&A: Where Should You Go?,4.7K,1 year,Hey y'all! I hope you guys enjoyed this video where I compare The University of Georgia to Georgia Tech! Both schools are great ...,2024-01-19 22:03:03.140213
/watch?v=5kU1_-dY-c0&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,2023 Georgia Tech Summer Tour: Day 1,716,6 months,Welcome to the official Georgia Tech 2023 Summer Tour! Join us on an exciting journey across the beautiful state of Georgia as ...,2024-01-19 22:03:03.141523
/watch?v=PMOdqFuob-Y&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@LexClips,Lex Clips,Attending MIT and Georgia Tech | Charles Isbell and Lex Fridman,15K,3 years,Lex Fridman Podcast full episode: https://www.youtube.com/watch?v=LAyZ8IYfGxQ Please support this podcast by checking out ...,2024-01-19 22:03:03.142993
/watch?v=p9qwj2ZFVnk&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@ACCDigitalNetwork,ACC Digital Network,Georgia Tech vs. Duke Full Game Replay | 2023-24 ACC Men’s Basketball,14K,4 days,The No.11 Blue Devils survived a valiant effort from Georgia Tech at home and avenged their early season loss to the Yellow ...,2024-01-19 22:03:03.144630
/watch?v=aq0K7an4FJE&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@SiddhantDubey,Siddhant Dubey,How I Survive As A Computer Science Major | Realistic Day In The Life of A Computer Science Major,39K,1 year,"... day in the life of a CS Major at Georgia Tech looks like, and how I manage to survive under the ""rigors"" of Computer Science.",2024-01-19 22:03:03.145944
/watch?v=zSEE12SZduw&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@TimTan1,Tim Tan,A Day In The Life | Georgia Tech,97K,5 years,Welcome to a day in my life at Georgia Tech! Follow along for college life at Tech in Atlanta. I hope you guys enjoy and thank you ...,2024-01-19 22:03:03.147193
/watch?v=IJbfE2AtlSk&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@GTrobotics,Robotics@Georgia Tech,Georgia Tech: Striking Just the Right Note,2.9K,10 years,Georgia Tech 2010 PSA featuring the robot called Shimon. Shimon plays the marimba while Caity Jimenez plays the drums.,2024-01-19 22:03:03.148411
/watch?v=LL40Li09vLg&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@6raceli,Grace Li,day in the life at georgia tech,2.2K,10 months,the first official day of spring break! we left on wednesday for nashville so we had a couple days of just chillin here in atl :) s/o to ...,2024-01-19 22:03:03.150911
/watch?v=zIcLGI8fk68&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Georgia Tech's Physics Connection to the 2017 Nobel Prize,1.2K,6 years,Three LIGO scientists were awarded the 2017 Nobel Prize for Physics for the discovery of gravitational waves. 17 members of the ...,2024-01-19 22:03:13.162469
/watch?v=_YYGtro9sME&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@thecollegetreehouse,The College Treehouse,"How I Got Into Georgia Tech for COMP SCI! || Stats, EC's, Awards, Etc.",8.8K,1 year,"Hi, and welcome to the College Treehouse! We're so happy you're here to watch our college admissions content! In our next ...",2024-01-19 22:03:13.165892
